Entreprise,Entreprise_Normalisee,Score_Max,Tier,Commune,Nb_Agents,Agents,Tel_Societe,Email_Societe,Tel_Societe_All,Email_Societe_All,Tel_Agents_IPI,Email_Agents_IPI,Tel_Agents_Existants,Email_Agents_Existants,Site_Web,Google_Business,Google_Note,Google_Nb_Avis,Services,Gestion_Locative,Syndic,Vente,Location,Commercial,Logiciel_Actuel,Immoweb_Annonces_Total,Immoweb_Location,Immoweb_Vente,Portfolio_Estime,BCE_Numero,BCE_Forme_Juridique,BCE_Date_Creation,Pain_Points,Angle_SPIN
IMMO HEYMANS,IMMO HEYMANS,92,A,Berchem-Sainte-Agathe,2,Alain Heymans | IMMO HEYMANS,+3223771642,logo@2x.png,+3223771642,logo@2x.png | info@immoheymans.be,+3223771642,info@immoheymans.be,,info@immoheymans.be,https://www.immoheymans.be,https://www.google.com/maps/search/IMMO%20HEYMANS%20Berchem-Sainte-Agathe,3.2,25,"Syndic, Commercial",Non,Oui,Non,Non,Oui,,10,5,5,80,0842.066.403,SRL,2011-12-23,tarification,Vos clients mentionnent tarification — comment gerez-vous le suivi des demandes aujourd'hui ?
Solvio Group,SOLVIO GROUP,90,A,,1,Olivier Blockhuys,+3232390409,,+3232390409 | +3232399409,,+3232390409,syndicus@solvio.be,,syndicus@solvio.be,https://www.solvio.be,https://www.google.com/maps/search/Solvio%20Group%20Bruxelles,3.5,30,"Gestion locative, Syndic",Oui,Oui,Non,Non,Non,,,,,5000,,SRL,2009-01-01,communication médiocre; mauvais service; personnel peu aimable; réponses lentes,Vos clients mentionnent communication médiocre — comment gerez-vous le suivi des demandes aujourd'hui ?
JDB SRL,JDB,90,A,Ixelles,1,Maureen De Wever,,info@bureau-jdb.be,,info@bureau-jdb.be | info@ipi.be,,dewever@bureau-jdb.be,,dewever@bureau-jdb.be,https://www.bureau-jdb.be,https://www.google.com/maps/search/JDB%20SRL%20Ixelles,3.8,15,"Gestion locative, Syndic, Commercial",Oui,Oui,Non,Non,Oui,,,,,30,0430.150.953,SRL,1991-01-01,semaines sans réponse emails; documents mauvais appartement,Vos clients mentionnent semaines sans réponse emails — comment gerez-vous le suivi des demandes aujourd'hui ?
MANAGIMM SRL,MANAGIMM,90,A,Woluwe-Saint-Lambert,1,Eric Spruytte,,commercial@homeland.immo,,commercial@homeland.immo,+3227710195,eric.spruytte@managimm.com,,eric.spruytte@managimm.com,https://www.homeland.immo,https://www.google.com/maps/search/MANAGIMM%20SRL%20Woluwe-Saint-Lambert,2.5,40,"Gestion locative, Syndic, Location, Commercial",Oui,Oui,Non,Oui,Oui,,5,3,2,67,,SRL,1983-01-01,communication difficile; réponses tardives; erreurs comptabilité; manque transparence; facturation incorrecte; menaces envers copropriétaires,Vos clients mentionnent communication difficile — comment gerez-vous le suivi des demandes aujourd'hui ?
KADANER SYNDIC - GESTION PARTNERS,KADANER SYNDIC GESTION PARTNERS,88,A,Saint-Gilles,1,Michaël Josefsada,+3226440680,jt@kadaner.be,+3226440680 | +3223470707 | +3226481249,jt@kadaner.be | mz@kadaner.be | detheux@kadaner.be | sp@kadaner.be | adl@kadaner.be | aet@kadaner.be | dc@kadaner.be | ff@kadaner.be | gl@kadaner.be | dh@kadaner.be | jl@kadaner.be | jw@kadaner.be | bm@kadaner.be | mb@kadaner.be | md@kadaner.be | tc@kadaner.be | tova@kadaner.be | regisseur@kadaner.be,,,,mz@kadaner.be,https://www.kadaner.be,https://www.google.com/maps/search/KADANER%20SYNDIC%20-%20GESTION%20PARTNERS%20Saint-Gilles,3.4,16,"Gestion locative, Syndic",Oui,Oui,Non,Non,Non,immoweb,5,3,2,50,0690.853.992,SRL,2018-02-22,engagements non tenus; accueil désagréable; manque de courtoisie; survente lors des visites; réactivité porte d'entrée; contrôle consommation eau,Vos clients mentionnent engagements non tenus — comment gerez-vous le suivi des demandes aujourd'hui ?
Delchevalerie Immobilière,DELCHEVALERIE IMMOBILIRE,87,A,Berchem-Sainte-Agathe,1,Nicolas Henry,+3224255610,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,+3224255610,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,+3224255610,nh@immodel.be,,nh@immodel.be,https://www.immodel.be,https://www.google.com/maps/search/Delchevalerie%20Immobili%C3%A8re%20Berchem-Sainte-Agathe,2.5,15,"Syndic, Location",Non,Oui,Non,Oui,Non,,5,3,2,60,0891.204.623,SRL,2007-07-20,prend l'argent de tous côtés; problèmes résolus uniquement après changement de syndic,Vos clients mentionnent prend l'argent de tous côtés — comment gerez-vous le suivi des demandes aujourd'hui ?
Veamo,VEAMO,85,A,Bruxelles,1,Wilfried Gees,,info@debugged.be,,info@debugged.be | info@veamo.be,+3222236124,wgees@veamo.be,,wgees@veamo.be,https://www.veamo.be,https://www.google.com/maps/search/Veamo%20Bruxelles,3.5,5,"Gestion locative, Syndic",Oui,Oui,Non,Non,Non,,5,3,2,30,,SRL,2010-01-01,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
CENTURY 21 - BOONDAEL,CENTURY 21 BOONDAEL,85,A,Ixelles,2,Grégory Defise | Sébastien Lejeune,+32474142086,seb@century21boondael.be,+32474142086 | +32456075850 | +3267566284,seb@century21boondael.be | greg@century21boondael.be,,,,ixelles@century21boondael.be,https://www.century21boondael.be,https://www.google.com/maps/search/CENTURY%2021%20-%20BOONDAEL%20Ixelles,4.8,45,"Gestion locative, Syndic, Vente, Location",Oui,Oui,Oui,Oui,Non,,35,15,20,100,,Franchise,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
GLOBALTY REAL ESTATE,GLOBALTY REAL ESTATE,85,A,Ixelles,5,Martin Roberti de Winghe | Pierre della Faille de Leverghem | Fabien Bauwens | Guillaume Nyst | GLOBALTY REAL ESTATE,+3298577622,info@globalty.be,+3298577622 | +3298793887 | +32473991061 | +3243140571 | +3258103973 | +32474246761,info@globalty.be | syndic@globalty.be | gestion@globalty.be,+3228830870 | +3228830871,info@globalty.be | robertimartin@globalty.be,,info@globalty.be | robertimartin@globalty.be,https://www.globalty.be,https://www.google.com/maps/search/GLOBALTY%20REAL%20ESTATE%20Ixelles,4,15,"Gestion locative, Syndic, Vente, Location",Oui,Oui,Oui,Oui,Non,,20,10,10,50,,SRL,2010-01-01,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Urbans srl,URBANS,85,A,Etterbeek,2,Alexis Aubry | Raphaël Laurent,+3225121345,info@urbans.immo,+3225121345 | +32483099193,info@urbans.immo | info@urbans.be | 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com | dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com | c183baa23371454f99f417f6616b724d@sentry.wixpress.com | 8c4075d5481d476e945486754f783364@sentry.io | 1eeb89147c984dc6bc3ffafd9e6cd089@sentry.wixpress.com | 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com | 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com | 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com | 78f7996315bc402f9dcb8a2f974b82d1@sentry.wixpress.com | 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com,+3225121345,info@urbans.be,+3225121345,info@urbans.be,https://www.urbans.be/,https://www.google.com/maps/search/Urbans%20srl%20Etterbeek,,,"Gestion locative, Syndic, Vente, Location",Oui,Oui,Oui,Oui,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Gesti Conseils SRL,GESTI CONSEILS,85,A,Uccle,8,Alexandre le Clément de Saint-Marcq | Emmanuel d'Oultremont | Charles Lambrechts | Arnaud t'Kint de Roodenbeke | Maria Gunduz | Martin Lambiotte | Salvatore Mirabella | Victor de Schaetzen,+3222100180,gc@gesticonseils.be,+3222100180,gc@gesticonseils.be,+3222100180 | +3222100194 | +3222100189 | +3223486176,cl@gesticonseils.be | mg@gesticonseils.be | asm@gesticonseils.be | salvatorehib@gmail.com,+32475956287 | +3223486176,asm@gesticonseils.be | edo@gesticonseils.be | cl@gesticonseils.be | info@gesticonseils.be | mg@gesticonseils.be | salvatorehib@gmail.com,https://www.gesticonseils.be,https://www.google.com/maps/search/Gesti%20Conseils%20SRL%20Uccle,3.8,8,,Non,Non,Non,Non,Non,,5,2,3,50,0461.180.956,SRL,1997-01-01,délais de réponse,Vos clients mentionnent délais de réponse — comment gerez-vous le suivi des demandes aujourd'hui ?
ATIMMO,ATIMMO,85,A,Uccle,4,Elisa De Jesus Rosário | Michel Patti | Gabrielle Mertens | Gil De Jesus Rosário,+3223315510,info@atimmo.be,+3223315510,info@atimmo.be,+3223315510 | +3223315010,info@atimmo.be,+3223315010,info@atimmo.be | michel.patti@atimmo.be,https://www.atimmo.be,https://www.google.com/maps/search/ATIMMO%20Uccle,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Contigo.immo,CONTIGOIMMO,85,A,Auderghem,2,Stéphane Cardon de Lichtbuer | Gauthier Lust,+3264980648,,+3264980648,,+3226750207,lust@contigo.immo,,cardon@contigo.immo | lust@contigo.immo,https://www.contigo.immo,https://www.google.com/maps/search/Contigo.immo%20Auderghem,4,8,"Gestion locative, Syndic, Vente, Location",Oui,Oui,Oui,Oui,Non,,15,10,5,50,0845.602.844,SA,2012-04-27,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Eurofa sa,EUROFA,85,A,Oudergem,4,Roland Moreau de Bellaing | Laurence Ohmann | Aubry Carette | Caroline Tripa,,info@eurofa.be,,info@eurofa.be,+3226405003 | +32475238338,info@eurofa.be | syndic@eurofa.be | caroline180185@hotmail.com,+3226405003,info@eurofa.be | syndic@eurofa.be | caroline180185@hotmail.com,https://www.eurofa.be,https://www.google.com/maps/search/Eurofa%20sa%20Oudergem,4.7,65,"Gestion locative, Syndic, Vente, Location",Oui,Oui,Oui,Oui,Non,,10,5,5,62,0447.236.811,SA,1993-01-01,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
La Gestion d'Immeubles,LA GESTION DIMMEUBLES,85,A,Watermael-Boitsfort,5,Paul Waucquez | Matthieu Gehot | Laurent Legros | Adeline Debucquois | William Vanher,,,,,+3223749130 | +3223736109,paulwaucquez@skynet.be | gehot@gestionimmeubles.be | legros@gestionimmeubles.be,+3223749130,paulwaucquez@skynet.be | gehot@gestionimmeubles.be | legros@gestionimmeubles.be,,https://www.google.com/maps/search/La%20Gestion%20d'Immeubles%20Watermael-Boitsfort,,,"Gestion locative, Syndic, Location, Commercial",Oui,Oui,Non,Oui,Oui,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Espace Immo Brussels,ESPACE IMMO BRUSSELS,83,A,Bruxelles,9,Adrianna Lewczuk | Antonio Vicario | Ali El Kadi | Maxime Benzenou | Emmanuel Lepere | Guillaume De Couvreur | Amel Rabah | Kevin Soladio Levy | Diana Pinto José,+3222191955,info@espaceimmobrussels.be,+3222191955,info@espaceimmobrussels.be,+3222191955 | +32483456040,ek@espaceimmobrussels.be | bl@espaceimmobrussels.be | info@espaceimmobrussels.be | el@espaceimmobrussels.be,,ek@espaceimmobrussels.be | bl@espaceimmobrussels.be | info@espaceimmobrussels.be | el@espaceimmobrussels.be,https://www.espaceimmobrussels.be/fr/,https://www.google.com/maps/search/Espace%20Immo%20Brussels%20Bruxelles,4.7,30,"Gestion locative, Vente, Location",Oui,Non,Oui,Oui,Non,omnicasa,45,25,20,80,0810.961.372,SRL,2008-01-01,,omnicasa couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
LATOUR & PETIT,LATOUR ET PETIT,83,A,Woluwe-Saint-Lambert,51,Denis Latour | Aymeric Francqui | Margaux Brauns | Nicolas Lecourt | Christophe van den Bosch | Gabrielle Fastrès | Laurence Agneessens | Barbara Latour | Nathan Deman | Thibaut Van den Berg | Gregory Bulcke | Laetitia Chamï | Sébastien Bernard | Diane Sury | Nicolas Morel de Westgaver | Thierry Schmitz | Prescillia Queipo-Carcaba | Inès Fonsny | Philippe Mestach | Alexandre Lahy | Véronique Dugait | Martine Akinci | Jean d'Aspremont Lynden | Charlotte Moreau de Bellaing | Tom Van Campenhout | Estelle Cavvadias | Philippine Vanhemelrijck | Maxime El Alam | Eduard Sulica | Adrien Wingender | Noah Roth | Anne-Sophie Wilmet | Loubna Karraz | Floriane Riga | Grégory Houtmans | Corinne de Lhoneux | Anne Bouix | Quentin Pinte | Lancelot Ullens de Schooten Whettnall | Nicolas Van Caenegem | Jean Vroye | Guillaume d'Udekem d'Acoz | Camille Flamend | Gaëtan Lycke | Pernelle Latour | Maxime de Woot de Trixhe de Jannée | Alexandre Wils | Véronique Birlenbach | Stanislas d'Udekem d'Acoz | Camille Grare | Olivier Meunier,+3272236932,info@latouretpetit.be,+3272236932 | +32474710599,info@latouretpetit.be,+3227771919 | +32485799389 | +32475811077 | +32470670242 | +3227771911 | +3227771914 | +32471397236 | +3227771515,denis@latouretpetit.be | info@latouretpetit.be | ines@latouretpetit.be | christophe@latouretpetit.be | laurence@latouretpetit.be | barbara@latouretpetit.be | nathand@latouretpetit.be | diane@latouretpetit.be | thierry@latouretpetit.be | veronique@latouretpetit.be | livingup@skynet.be | gabrielle@latouretpetit.be | cmdebel@yahoo.fr | corinne@latouretpetit.be | new@latouretpetit.be | nicolasv@latouretpetit.be | philippem@latouretpetit.be,+32475811077 | +3227771919 | +32478734843 | +3227771911 | +32471397236 | +32478385004 | +3227771515,denis@latouretpetit.be | info@latouretpetit.be | Ines@latouretpetit.be | christophe@latouretpetit.be | gabrielle@latouretpetit.be | laurence@latouretpetit.be | barbara@latouretpetit.be | NathanD@latouretpetit.be | philippem@latouretpetit.be | diane@latouretpetit.be | thierry@latouretpetit.be | veronique@latouretpetit.be | ines@latouretpetit.be | livingup@skynet.be | cmdebel@yahoo.fr | corinne@latouretpetit.be | new@latouretpetit.be | nicolasv@latouretpetit.be | gaetan.lycke@hotmail.com | philippeM@latouretpetit.be | birlenbach.vero@gmail.com | aymeric@latouretpetit.be,https://www.latouretpetit.be,https://www.google.com/maps/search/LATOUR%20%26%20PETIT%20Woluwe-Saint-Lambert,4.5,40,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,whise,1599,800,799,2000,0475.331.474,SA,2002-01-01,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Hermanns Real Estate,HERMANNS REAL ESTATE,83,A,Etterbeek,6,Amaury Hermanns | Maxence Dumont | Coraline Jacquemotte | Manon Impens | Grégoire Boulland | Jean-Sébastien Amichia,+3227359518,info@ahre.be,+3227359518,info@ahre.be,+3227359518 | +32485237732,ah@ahre.be | info@ahre.be,+32485237732,ah@ahre.be | info@ahre.be,https://www.ahre.be,https://www.google.com/maps/search/Hermanns%20Real%20Estate%20Etterbeek,4.8,423,"Gestion locative, Syndic, Vente, Location",Oui,Oui,Oui,Oui,Non,whise,30,15,15,60,,SRL,2015-01-01,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
IMMO STYLES srl,IMMO STYLES,83,A,Etterbeek,2,Tanguy De Maeyer | Laetitia Cornelis,+3226540041,info@immostyles.be,+3226540041 | +3225053850,info@immostyles.be | tanguy@immostyles.be | info@ipi.be,+3226540041,gestion@immostyles.be,,gestion@immostyles.be,https://www.immo-style.be/,https://www.google.com/maps/search/IMMO%20STYLES%20srl%20Etterbeek,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
L'Immobilière des 4 vents,LIMMOBILIRE DES 4 VENTS,83,A,Uccle,4,Sandra Orlowska | Daniel Saeremans | Adeline Spirlet-Fassin | Caroline Ruelle,+3223150851,info@immo4vents.be,+3223150851 | +3225053850,info@immo4vents.be | info@ipi.be,+3223150851 | +32495305805,as@immo4vents.be | ds@immo4vents.be | info@immo4vents.be,+32495305805,as@immo4vents.be | ds@immo4vents.be | info@immo4vents.be,https://www.immo4vents.be,https://www.google.com/maps/search/L'Immobili%C3%A8re%20des%204%20vents%20Uccle,4,10,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,whise,10,5,5,40,,SRL,1995-01-01,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Easy Syndic,EASY SYNDIC,82,A,Ixelles,1,Jason Lacroix,+3222190451,syndic-belgique-easy-syndic-700x700@2x.png,+3222190451 | +32491110503,syndic-belgique-easy-syndic-700x700@2x.png | syndic-belgique-easy-syndic-400x400@2x.png | en-savoir-plus-1-400x133@2x.png | shutterstock_2244308649-400x266@2x.jpg | van-syndicus-veranderen-400x266@2x.jpeg | logocalceo-nl-200x84@2x.jpg | cleanpoint-logo-rgb-200x49@2x.png | delift-200x65@2x.png | elaerts-logo-01-200x66@2x.png | honesty-logo-200x45@2x.png | unnamed-4-1-200x57@2x.png | rencura-logo-rgb-200x61@2x.png | tech-elec_2000px-200x142@2x.png | trema-logo-rgb-1-200x68@2x.png | vincotte-logo-digitaal-rgb-200x200@2x.jpg | shutterstock_2554369789-300x300-crop-50-50@2x.jpg | info@easysyndic.be,+3222190451,info@easysyndic.be,+3222190451,info@easysyndic.be,https://easysyndic.be/,https://www.google.com/maps/search/Easy%20Syndic%20Ixelles,2,50,"Syndic, Location, Commercial",Non,Oui,Non,Oui,Oui,,,,,1841,0506.828.166,SRL,2009-01-01,emails facturés mais non lus; factures impayées; problèmes résolus par résidents eux-mêmes; quotités non respectées; charges parking x10,Vos clients mentionnent emails facturés mais non lus — comment gerez-vous le suivi des demandes aujourd'hui ?
OCTOGONE,OCTOGONE,82,A,Uccle,2,Kenzo Goto -- Lanaud | Laurent Kriwin,+3223446151,info@octogone.be,+3223446151,info@octogone.be | lwolf@octogone.be | myriam@octogone.be | timothy@octogone.be | kenzo@octogone.be,+3223446151,info@octogone.be,,info@octogone.be,https://www.octogone.be/,https://www.google.com/maps/search/OCTOGONE%20Uccle,3.5,6,"Syndic, Location",Non,Oui,Non,Oui,Non,,10,5,5,30,,SRL,1995-01-01,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
NVX ETS DELCHEVALERIE IMMOBILIER,NVX ETS DELCHEVALERIE IMMOBILIER,82,A,Berchem-Sainte-Agathe,1,Philippe Van Laetem,+3224255610,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,+3224255610,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,+3224255610,nh@immodel.be,,nh@immodel.be,https://www.immodel.be,https://www.google.com/maps/search/NVX%20ETS%20DELCHEVALERIE%20IMMOBILIER%20Berchem-Sainte-Agathe,2.5,15,"Syndic, Location",Non,Oui,Non,Oui,Non,,5,3,2,60,0891.204.623,SRL,2007-07-20,prend l'argent de tous côtés; problèmes résolus uniquement après changement de syndic,Vos clients mentionnent prend l'argent de tous côtés — comment gerez-vous le suivi des demandes aujourd'hui ?
Immobilière Greenwich,IMMOBILIRE GREENWICH,80,A,Ixelles,1,Alexandre Coppin,+3223450378,info@immo-greenwich.be,+3223450378,info@immo-greenwich.be,+3223450378,info@immo-greenwich.be,,info@immo-greenwich.be,https://www.immo-greenwich.be,https://www.google.com/maps/search/Immobili%C3%A8re%20Greenwich%20Ixelles,,,"Gestion locative, Syndic, Vente, Location",Oui,Oui,Oui,Oui,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
